Module,"Field Name","Field Type",Label,"Label Source",Required,"Read Only",Custom,"Linked Entity","DB Table","DB Column(s)","DB Column Type(s)","Options / Definition Details"
Account,shippingAddress,address,"Shipping Address",i18n:fields,,,,,account,shipping_address_street|shipping_address_city|shipping_address_state|shipping_address_country|shipping_address_postal_code,varchar(255)|varchar(100)|varchar(100)|varchar(100)|varchar(40),view=crm:views/account/fields/shipping-address
Account,shippingAddressCity,varchar,"City (Shipping)",i18n:fields,,,,,account,shipping_address_city,varchar(100),"maxLength=100; view=views/fields/address-city; pattern=$noBadCharacters"
Account,shippingAddressCountry,varchar,"Country (Shipping)",i18n:fields,,,,,account,shipping_address_country,varchar(100),"maxLength=100; view=views/fields/address-country; pattern=$noBadCharacters"
Account,shippingAddressMap,map,"Map (Shipping)",i18n:fields,,yes,,,account,"(not stored)",,notStorable=true
Account,shippingAddressPostalCode,varchar,"Postal Code (Shipping)",i18n:fields,,,,,account,shipping_address_postal_code,varchar(40),"maxLength=40; pattern=$noBadCharacters"
Account,shippingAddressState,varchar,"State (Shipping)",i18n:fields,,,,,account,shipping_address_state,varchar(100),"maxLength=100; view=views/fields/address-state; pattern=$noBadCharacters"
Account,shippingAddressStreet,text,"Street (Shipping)",i18n:fields,,,,,account,shipping_address_street,varchar(255),maxLength=255
Account,sicCode,varchar,"Sic Code",i18n:fields,,,,,account,sic_code,varchar(40),"maxLength=40; pattern=$noBadCharacters"
Account,sic_code,text,"Standard Industrial Classification Code",i18n:fields,,,yes,,account,sic_code,varchar(40),
Account,stage,enum,Stage,i18n:fields,,,yes,,account,stage,varchar(255),"options=[|New|Qualified|Proposal|Negotiation|Closed Won|Closed Lost]"
Account,streamUpdatedAt,datetime,"Stream Updated At",i18n:fields,,yes,,,account,stream_updated_at,datetime,
Account,targetList,link,"Target List",i18n:fields,,,,,account,"(not stored)",,notStorable=true
Account,targetListIsOptedOut,bool,"Is Opted Out (Target List)",i18n:fields,,yes,,,account,"(not stored)",,notStorable=true
Account,targetLists,linkMultiple,"Target Lists",i18n:fields,,,,TargetList,account,"(not stored)",,
Account,teams,linkMultiple,Teams,i18n:fields,,,,Team,account,"(not stored)",,view=views/fields/teams
Account,totalActivePremiumConverted,currencyConverted,"Total Active Premium Converted",auto,,yes,,,account,"(not stored)",,
Account,totalActivePremiumCurrency,enum,"Total Active Premium Currency",auto,,,,,account,total_active_premium_currency,varchar(3),"maxLength=3; view=views/fields/currency-list"
Account,totalAnnualPremium,currency,"[OLD] Total Annual Premium",i18n:fields,,yes,yes,,account,total_annual_premium|total_annual_premium_currency,double|varchar(3),
Account,totalAnnualPremiumConverted,currencyConverted,"Total Annual Premium Converted",auto,,yes,,,account,"(not stored)",,
Account,totalAnnualPremiumCurrency,enum,"Total Annual Premium Currency",auto,,yes,,,account,total_annual_premium_currency,varchar(3),"maxLength=3; view=views/fields/currency-list"
Account,totalCarrierPremiumConverted,currencyConverted,"Total Carrier Premium Converted",auto,,yes,,,account,"(not stored)",,
Account,totalCarrierPremiumCurrency,enum,"Total Carrier Premium Currency",auto,,yes,,,account,total_carrier_premium_currency,varchar(3),"maxLength=3; view=views/fields/currency-list"
Account,total_active_premium,currency,"Total Portfolio Premium",i18n:fields,,,yes,,account,total_active_premium|total_active_premium_currency,double|varchar(3),
Account,total_carrier_premium,currency,"Total Carrier Premium",i18n:fields,,yes,yes,,account,total_carrier_premium|total_carrier_premium_currency,double|varchar(3),
Account,type,enum,Type,i18n:fields,,yes,,,account,type,varchar(255),"options=[|Commercial Lines|Personal Lines|Group Benefits|Prospect]"
Account,website,url,Website,i18n:fields,,,,,account,website,varchar(255),
Account,websiteUrl,url,"[OLD] Website URL",i18n:fields,,,yes,,account,website_url,varchar(255),
Account,what_you_have_today,text,"What You Have Today",i18n:fields,,,yes,,account,what_you_have_today,longtext,
Account,x_date,date,"Renewal X-Date",i18n:fields,,,yes,,account,x_date,date,
Account,years_in_business,int,"Years in Business",i18n:fields,,,yes,,account,years_in_business,int,
Contact,acceptanceStatus,varchar,"Acceptance Status",i18n:fields,,,,,contact,"(not stored)",,notStorable=true
Contact,acceptanceStatusCalls,enum,"Acceptance Status (Calls)",i18n:fields,,,,,contact,"(not stored)",,"view=crm:views/lead/fields/acceptance-status; notStorable=true"
Contact,acceptanceStatusMeetings,enum,"Acceptance Status (Meetings)",i18n:fields,,,,,contact,"(not stored)",,"view=crm:views/lead/fields/acceptance-status; notStorable=true"
Contact,account,link,Account,i18n:fields,,,,Account,contact,account_id,varchar(17),view=crm:views/contact/fields/account
Contact,accountAnyId,varchar,"Account Any Id",auto,,,,,contact,"(not stored)",,notStorable=true
Contact,accountIsInactive,bool,"Account Inactive",i18n:fields,,,,,contact,"(not stored)",,notStorable=true
